Q	#up	#dn	#all
A_1	1	1	1
A_2	2	2	2
B_1	1	1	1
B_2	2	2	2
B_3	2	2	2
B_4	2	2	2
B_5	3	3	3
C_1	1	1	1
C_2	2	2	2
C_3	3	3	3
C_4	2	2	2
C_5	2	2	2
C_6	4	4	4
C_7	2	2	2
C_8	2	2	2
C_9	4	4	4
C_10	2	2	2
C_11	4	4	4
C_12	3	3	3
C_13	8	8	24
C_14	3	3	3
C_15	3	3	3
C_16	4	4	4
C_17	4	4	4
C_18	4	4	4
C_19	2	2	2
C_20	4	4	4
C_21	8	8	24
C_22	4	4	4
C_23	4	4	4
D_1	1	1	1
D_2	2	2	2
D_3	3	3	3
D_4	2	2	2
D_5	4	4	4
D_6	2	2	2
D_7	3	3	3
D_8	3	3	3
D_9	2	2	2
D_10	4	4	4
D_11	2	2	2
D_12	6	6	6
D_13	6	6	6
D_14	4	4	4
D_15	2	2	2
D_16	4	4	4
D_17	4	4	4
D_18	2	2	2
D_19	4	4	4
D_20	2	2	2
D_21	4	4	4
D_22	6	6	6
D_23	2	2	2
D_24	4	4	4
D_25	6	6	6
D_26	4	4	4
D_27	4	4	4
D_28	4	4	4
D_29	4	4	4
D_30	4	4	4
D_31	2	2	2
D_32	4	4	4
D_33	4	4	4
D_34	4	4	4
D_35	4	4	4
D_36	4	4	4
D_37	8	8	8
D_38	8	8	8
D_39	3	3	3
D_40	6	6	6
D_41	8	8	24
D_42	3	3	3
D_43	3	3	3
D_44	3	3	3
D_45	6	6	6
D_46	3	3	3
D_47	6	6	6
D_48	6	6	6
D_49	3	3	3
D_50	4	4	4
D_51	4	4	4
D_52	4	4	4
D_53	2	2	2
D_54	4	4	4
D_55	4	4	4
D_56	4	4	4
D_57	4	4	4
D_58	4	4	4
D_59	4	4	4
D_60	8	8	24
D_61	4	4	4
D_62	4	4	4
D_63	8	8	24
D_64	4	4	4
D_65	4	4	4
D_66	2	2	2
D_67	6	6	6
D_68	8	8	8
D_69	8	8	24
